entrezgene	ensembl	symbol	abagen symbol	pass_all	num_pass	correlation	seed	score
54972	ENSG00000006118	TMEM132A	TMEM132A	1.0	6.0	0.6439681593974694	53.0	0.1679916937558616
114795	ENSG00000139364	TMEM132B	TMEM132B	1.0	3.0	0.5195569415252316	33.0	0.06776829672068238
92293	ENSG00000181234	TMEM132C	TMEM132C	0.0	0.0	0.14483666958997338	33.0	0.0
121256	ENSG00000151952	TMEM132D	TMEM132D	1.0	4.0	0.6520021355468066	33.0	0.11339167574727071
124842	ENSG00000181291	TMEM132E	TMEM132E	1.0	2.0	0.5376826893212073	31.0	0.046755016462713676
219902	ENSG00000181264	TLCD5	TMEM136	1.0	5.0	0.4657044393404929	33.0	0.1012400955088028
85014	ENSG00000244187	TMEM141	TMEM141	1.0	2.0	0.4319884240921416	41.0	0.03756421079062101
55314	ENSG00000164124	TMEM144	TMEM144	0.0	0.0	0.28025050195360923	32.0	0.0
284339	ENSG00000167619	TMEM145	TMEM145	1.0	1.0	0.39064458705694616	31.0	0.016984547263345483
28978	ENSG00000096092	TMEM14A	TMEM14A	0.0	0.0	0.4796800898304258	33.0	0.0
51522	ENSG00000284936	TMEM14C	TMEM14C	0.0	0.0	0.2157290743931704	44.0	0.0
441027	ENSG00000249242	TMEM150C	TMEM150C	1.0	6.0	0.6221689235193814	40.0	0.1623049365702734
132332	ENSG00000164112	SMIM43	TMEM155	1.0	2.0	0.535065089928953	33.0	0.046527399124256776
25907	ENSG00000249992	TMEM158	TMEM158	1.0	11.0	0.7334626537916648	49.0	0.3507864865960136
57146	ENSG00000011638	LDAF1	TMEM159	1.0	5.0	0.6031504496324885	32.0	0.13111966296358446
54958	ENSG00000130748	TMEM160	TMEM160	1.0	4.0	0.6119145319688668	49.0	0.10641991860328118
100505894	ENSG00000247828	TMEM161B-DT	TMEM161B-AS1	1.0	1.0	0.5255350512838807	2.0	0.022849350055820897
