,cPC1
BTBD6,7.037833052298025
BTBD9,0.9718074195587941
BTC,-1.1506097980901846
BTG1,-2.62319349142968
BTG3,-5.611488730211608
BTN3A1,-8.164282240504106
BTN3A2,-9.239610329412168
BTNL9,-6.848679431789627
BUB3,-7.078504637929815
BZW2,2.306873769663753
C10orf105,-10.216623600780206
C11orf1,-9.330819924388011
C11orf58,1.6876228099636317
C11orf65,-8.611029621801361
C11orf68,6.383711748003022
C11orf71,-9.126036128040797
C11orf74,4.920012001537879
C11orf80,5.145635605640014
C11orf87,3.01053496624719
C11orf95,5.248521078578859
C11orf97,-1.9962174673509485
C12orf29,3.9066410263762017
C12orf4,7.095268427674893
C12orf43,7.34592189738887
C12orf45,-4.579332659416652
C12orf60,-7.59661602844193
C12orf66,-6.253822076742802
C12orf75,-8.385874230494238
C12orf76,1.8847822528967144
C14orf132,5.452642093495958
C15orf41,-5.018189275834504
C15orf59,0.006870572458021116
C15orf61,4.1614964833614785
C16orf45,4.8316321411966126
C16orf58,5.361563669559545
C16orf70,2.912478492603495
C16orf74,-6.2330651587029955
C16orf87,4.310391840737575
C16orf91,9.582676942719266
C16orf95,4.019918117325485
C17orf100,4.4907046888750015
C17orf51,1.6235918503883247
C17orf58,6.299072139664222
C17orf97,-7.938995091277653
C19orf12,-0.5745030680700227
C19orf18,-6.396758670667917
C19orf33,-7.168374263441655
C19orf53,-6.346970139216322
C19orf57,3.9638655580673423
C1D,6.627518661199121
C1GALT1,-5.817577832557801
C1QA,-4.924159693002443
C1QB,-4.819745378282349
C1QC,-7.468751524663271
C1QL1,-1.4155964445319735
C1QL2,1.3073350437420095
C1QL3,4.243144665047128
C1QTNF3,-7.391965942580597
C1R,-0.3716064130609484
C1RL,1.9021545585285258
C1S,-1.2021833635716879
C1orf115,8.960931062506159
C1orf194,-3.6364914048921784
C1orf198,-4.39853900063621
C1orf21,9.100634319145469
C1orf216,7.24897424318936
C1orf226,-1.9893939995811964
C1orf50,-1.7150496700609614
C1orf61,-4.46161340928557
C1orf74,2.2874230884305837
C20orf196,2.4889246543628127
C20orf27,-3.665177457321145
C20orf96,-7.834093948409401
C2CD2L,-2.9797445747886013
C2CD4C,9.692714144503565
C2CD5,9.70188613368096
C2orf27A,6.239519013491278
C2orf49,-5.318534358677947
C2orf69,6.254985247409144
C2orf73,-8.529908275897338
C2orf80,3.0517096797684946
C3,-5.629724537653892
C3orf14,6.2352608439530774
C3orf70,-7.284850390076546
C3orf80,13.453350026734554
C4orf48,-5.590653382457299
C5orf30,3.1256077401602607
C5orf42,6.141970814472302
C5orf49,-1.81130480569225
C6orf118,-10.28068708418406
C6orf120,2.530266811634087
C6orf52,-4.19101782006203
C6orf62,-6.8577527213458875
C7orf13,-6.0041354971950165
C7orf50,6.321677127708338
C8orf34,-1.8542105237801978
C8orf44,-0.16119586758187732
C8orf46,2.2631783185514265
C9orf116,-5.736055123057784
C9orf129,10.544517398489612
C9orf16,1.4765411777657065
C9orf40,6.492296189119917
C9orf72,0.7798339359764819
CA10,5.149329439705967
CA11,9.288905907036787
CA12,-13.52234850262099
CA4,6.677283793418511
CA5B,-5.3251567142505225
CA8,-3.3941592057960044
CAB39,0.5504982793658318
CAB39L,6.116624981773736
