"voxel","diagnosis_beta"
351,1.16215071632507
352,1.01423646379716
353,0.760504454719691
354,0.401695210208759
355,-0.0390389401021714
356,-0.0295546112227116
357,0.453733818951301
358,0.787152965016503
359,0.998801984142844
360,1.1052638148921
361,1.08819074755017
362,0.944306140309826
363,0.746589721541999
364,0.624773050858128
365,0.660405685550963
366,0.815255491376631
367,0.978461456935922
368,1.06100587248729
369,1.03047326132605
370,0.885438548404457
371,0.624954805447438
372,0.249984236305858
373,-0.0587941204935862
374,0.420749167696131
375,0.760125720729058
376,0.994591991389801
377,1.13530262136052
378,1.14798737625197
379,1.0174397944895
380,0.812694651279706
381,0.658994354559729
382,0.634138681922935
383,0.71069982484516
384,0.80425941790176
385,0.848407983447008
386,0.813645950711783
387,0.685193765662636
388,0.446410630709324
389,0.0897845149821441
390,-0.18857632346946
391,0.283779244419169
392,0.644499057602378
393,0.919177584460077
394,1.10631370110113
395,1.16452218913235
396,1.07601224526524
397,0.900044709935357
398,0.740387164404109
399,0.657812703354309
400,0.633864423029109
401,0.618663326067182
402,0.58275684024774
403,0.514881725200205
404,0.396147655716704
405,0.194540753467213
406,-0.354372232357899
407,0.101618914525246
408,0.47632091259298
409,0.781971008326139
410,1.0111597451186
411,1.12711316405003
412,1.10983954988033
413,0.993817504804108
414,0.845202561986333
415,0.704065632947699
416,0.567021917049134
417,0.4239322378711
418,0.284241819992124
419,0.158441065319851
420,0.0311648764907232
421,-0.136107434316126
422,-0.494608970566375
423,-0.0686591046205236
424,0.293555718093149
425,0.598906200661351
426,0.846897219800292
427,1.01234537438246
428,1.06734445329082
429,1.01088726508766
430,0.869433554119847
431,0.670809172821574
432,0.434355597697842
433,0.186313205964334
434,-0.589204144197913
435,-0.204421849362398
436,0.11694680794615
437,0.385226847361697
438,0.614427933158565
439,0.791970280248864
440,0.881735615902385
441,0.854511766410982
442,0.711057263462456
443,0.47586960639161
444,-0.0613152361422722
445,0.147624047111153
446,0.322827979567625
447,0.463531669740005
448,0.537021062862859
449,0.509145155506258
450,-0.277450533019525
451,-0.317785320863354
452,0.198282436616193
453,0.318375667480457
454,0.338356458117529
455,0.269508449362839
456,0.144083565071026
457,-0.00544306505838516
458,-0.681116936896151
459,-0.305515612504616
460,0.0178576110144636
461,0.297407140366465
462,0.540394581556337
463,0.725503375205086
464,0.82138089509636
465,0.815982028462297
466,0.722368153066997
467,0.566651466900775
468,0.377698976834808
469,0.184779640298698
470,0.0147042199253601
471,-0.116267171370949
472,-0.209833441011932
473,-0.707078924437766
474,-0.234425258432314
475,0.170926677853161
476,0.479251630689502
477,0.713542585530993
478,0.894716186602608
479,1.01616747892001
480,1.06646639258412
481,1.04822042919858
482,0.969275524988378
483,0.833636301508074
484,0.650686874336925
485,0.44689340734658
486,0.258238714926811
487,0.109483817810394
488,0.00178300078531945
489,-0.0881189627427159
490,-0.853534241106151
491,-0.322546237413477
492,0.181016566300946
493,0.557650565867061
494,0.787638054241469
495,0.914125899383462
496,0.982963402162086
497,1.01980577962795
498,1.04398263952016
499,1.06494191504441
500,1.06431270112458
501,1.00501371281627
502,0.867999471577125
503,0.676511459838827
504,0.479046185653378
505,0.312042938473458
506,0.181771782881298
507,0.0656870976638808
508,-0.0785969632306687
509,-1.04813180958693
510,-0.533075268732393
511,0.0332661360264337
512,0.519130085460079
513,0.824106293587504
514,0.939580486191016
515,0.928824206438781
516,0.871679869691856
517,0.839888381205036
