ALDH6A1,,,,,,,,,,,,,,,,,,
ALDH7A1,,,,,,,,,,,,,,,,,,
ALDH8A1,,,,,,,,,,,,,,,,,,
ALDH9A1,,,,,,,,,,,,,,,,,,
ALDOA,,,,,,,,,,,,,,,,,,
ALDOB,,,,,,,,,,,,,,,,,,
ALDOC,,,,,,,,,,,,,,,,,,
ALG1,,,,,,,,,,,,,,,,,,
ALG10B,,,,,,,,,,,,,,,,,,
ALG12,,,,,,,,,,,,,,,,,,
ALG2,,,,,,,,,,,,,,,,,,
ALG3,,,,,,,,,,,,,,,,,,
ALG6,,,,,,,,,,,,,,,,,,
ALK,,,,,,,,,,,,,,,,,,
ALKAL1,,,,,,,,,,,,,,,,,,
ALKAL2,,,,,,,,,,,,,,,,,,
ALKBH1,,,,,,,,,,,,,,,,,,
ALKBH2,,,,,,,,,,,,,,,,,,
ALKBH3,,,,,,,,,,,,,,,,,,
ALKBH4,,,,,,,,,,,,,,,,,,
ALKBH5,,,,,,,,,,,,,,,,,,
ALKBH6,,,,,,,,,,,,,,,,,,
ALKBH7,,,,,,,,,,,,,,,,,,
ALKBH8,,,,,,,,,,,,,,,,,,
ALMS1,,,,,,,,,,,,,,,,,,
ALOX12,,,,,,,,,,,,,,,,,,
ALOX12B,,,,,,,,,,,,,,,,,,
ALOX15,,,,,,,,,,,,,,,,,,
ALOX15B,,,,,,,,,,,,,,,,,,
ALOX5,,,,,,,,,,,,,,,,,,
ALOX5AP,,,,,,,,,,,,,,,,,,
ALOXE3,,,,,,,,,,,,,,,,,,
ALPG,,,,,,,,,,,,,,,,,,
ALPI,,,,,,,,,,,,,,,,,,
ALPK1,,,,,,,,,,,,,,,,,,
ALPL,,,,,,,,,,,,,,,,,,
ALPP,,,,,,,,,,,,,,,,,,
ALS2,,,,,,,,,,,,,,,,,,
ALX1,,,,,,,,,,,,,,,,,,
ALX3,,,,,,,,,,,,,,,,,,
ALX4,,,,,,,,,,,,,,,,,,
ALYREF,,,,,,,,,,,,,,,,,,
AMACR,,,,,,,,,,,,,,,,,,
AMBP,,,,,,,,,,,,,,,,,,
AMBRA1,,,,,,,,,,,,,,,,,,
AMDHD2,,,,,,,,,,,,,,,,,,
AMELX,,,,,,,,,,,,,,,,,,
AMELY,,,,,,,,,,,,,,,,,,
AMER1,,,,,,,,,,,,,,,,,,
AMER2,,,,,,,,,,,,,,,,,,
AMFR,,,,,,,,,,,,,,,,,,
AMH,,,,,,,,,,,,,,,,,,
AMHR2,,,,,,,,,,,,,,,,,,
AMMECR1,,,,,,,,,,,,,,,,,,
AMN,,,,,,,,,,,,,,,,,,
AMOT,,,,,,,,,,,,,,,,,,
AMOTL1,,,,,,,,,,,,,,,,,,
AMPD1,,,,,,,,,,,,,,,,,,
AMPD2,,,,,,,,,,,,,,,,,,
AMPH,,,,,,,,,,,,,,,,,,
