"roi","correlation","Advan_inno","BrainGluSchi","Baltimore","Dallas","dallas","boston","chicago","COBRE","HCP","A","C","MultidimCog","speech","KUT","KTT","UTO","Study_neura","Transdiagnostic2","Transdiagnostic1","no_Advan_inno","no_BrainGluSchi","no_Baltimore","no_Dallas","no_dallas","no_boston","no_chicago","no_COBRE","no_HCP","no_A","no_C","no_MultidimCog","no_speech","no_KUT","no_KTT","no_UTO","no_Study_neura","no_Transdiagnostic2","no_Transdiagnostic1"
"22",0.326720794636733,-0.436443106413322,-0.190092348442374,0.118384308323988,0.664730757291651,0.197190271955583,0.37817749300458,-1.33575523669563,0.0398347289114816,0.129909677731677,0.314500587511127,-0.848544400751922,1.13588829959075,0.169528120793589,0.572357606300745,0.491667921176052,1.88754878440272,-0.250016674134372,1.80145713238109,0.691497804341976,0.375365229114188,0.374456494231632,0.373841414178634,0.317726693611038,0.330907042839471,0.305305936496194,0.401949303449511,0.347929700177022,0.357399335917583,0.318035896075262,0.388389950035805,0.246026652415869,0.323324150008605,0.293664810208682,0.361680130321578,0.21270908363357,0.350337472047102,0.255541014989003,0.282422024214991
"23",-0.288983219036381,0.314346130545259,-1.23056738718918,-0.185347166510071,-0.243267651236055,0.106499668509079,-0.954791417100974,-0.188419003202155,-0.0162600637027471,-1.34721148087499,0.405505077743052,-1.15639081661634,-0.696942596633971,-0.51985318231751,0.207210802420375,-0.118287713198247,0.116289956539166,0.44853105351881,0.772382383972546,1.13305529887429,-0.330553017173044,-0.233745344423464,-0.312841787878424,-0.276681681203729,-0.314147152762815,-0.238967251823093,-0.304549116687923,-0.302091034130948,-0.148442183937874,-0.323118491401581,-0.234896229910911,-0.215109285239543,-0.278268774525473,-0.345000398801524,-0.265367544483704,-0.305892827830537,-0.330927446820011,-0.323506607947083,-0.38522520519313
"24",0.303721431165521,0.0632320515093594,0.919561923693814,0.543673927267943,-0.423340433716579,0.610674040779268,0.89672998623247,0.742643119944689,0.721863370990522,0.0287820814271517,-1.23507427576326,-1.86621439795778,-0.694480783862516,0.231087621414869,0.268033833333691,0.0826539228492795,0.335118979885555,0.379684860534742,-0.0475018937868968,0.572401502380249,0.31771264188804,0.268088913941553,0.274885139494424,0.327946025492558,0.275841522915103,0.271205227006898,0.269435143727426,0.270541221146996,0.27083108808561,0.376295035910546,0.415175543046451,0.41573305900818,0.300418942298135,0.25890943779409,0.323277264461184,0.268719129721212,0.2824276170099,0.30923273546841,0.258669300727999
"25",0.67624398204161,0.513484983312405,1.20989691989067,0.323080787585722,-0.842204660224697,0.578744710310489,-0.0205445050625533,0.406653965769995,0.984052629041834,1.11460720359137,0.402564211654984,0.114867279078081,1.25185553102353,0.5348506924226,0.595679341449306,0.210789661076511,-0.0722457455598403,0.446216220683751,0.232861488373307,0.0686477295664483,0.678700462431119,0.639120823791547,0.71633774477269,0.717304419457952,0.663929747439091,0.725003720852076,0.683453035369869,0.635018303938003,0.607075630125567,0.680168788119813,0.701158078019997,0.572859906509979,0.67188500822622,0.684954750451564,0.716912208304022,0.729334008804949,0.675822269130428,0.66447171783064,0.66343742791005
"26",1.10739070088613,1.25418214341512,0.960840586151467,1.07631444475498,-0.769456113579238,1.20562165931735,0.145317323821655,0.157045165605123,-0.0440987970487733,0.603258521079198,1.10117314442402,0.130150998310843,1.6805345743316,1.70096345885151,1.25265377837689,1.42508112933492,0.299942723478403,1.43167116087208,1.18058768098571,-0.123153608871813,1.07385459447922,1.10601681850777,1.11741421683628,1.16562026818705,1.08876711957495,1.16474693425957,1.13403893309174,1.19207219524536,1.13069072011915,1.07627397822787,1.15462397629571,1.01937890994145,1.06456061187575,1.0635493997247,1.05047136745209,1.18860140220842,1.04195567134814,1.06837109668298,1.1078031070858
"27",0.493549562391645,-0.959365583136448,-0.320922203648753,0.286369755786748,0.752666504214104,-0.1118400813446,-0.0131523341163204,-0.405396464569919,0.62384501252776,0.209368437456409,1.37035873267113,0.546999059644959,0.704838799380658,0.829514875329947,1.14791128235376,0.66249401544267,1.3240179437955,0.217616280580569,-0.161063114823799,-0.0101166777055404,0.611189933320317,0.54851287341934,0.516813233210314,0.468400208794506,0.543112657393426,0.51181341249992,0.540434038263039,0.467375446677505,0.554324773371102,0.425240180385171,0.495375469800454,0.440868601337845,0.481146457898401,0.375458437399874,0.455791729185527,0.436826112392893,0.508330487671717,0.495222743761357,0.48650527683979
"28",0.537118492205766,-0.783904229595661,0.123732132757915,0.532253529637068,-0.609597590665637,-0.378245617023244,-0.294471085107335,0.950488527922308,0.713178345267046,0.775580184336078,0.487512479505425,0.902150978921949,0.154146089833264,1.76584844879384,0.792015591470101,0.653407349944936,0.0867913192208198,0.643570655700373,0.552335330938559,0.362216670255653,0.640605707907039,0.5568562288494,0.515332310032584,0.584150516943073,0.595706386638033,0.596173225767587,0.502056402600658,0.509486127885364,0.491123289730961,0.526129689294677,0.515626869665115,0.569331935655812,0.474530721241186,0.483121497346416,0.478711654402978,0.606706253539714,0.520663627301179,0.520784457276283,0.503692186888426
"29",-0.408736210874222,-0.132467929812841,0.135398570803514,-0.205495673477256,-1.57503403467447,-0.295213487159748,-1.20019280823391,-0.423315422967609,-0.350241906637169,0.25645140714771,0.0841135281915644,0.434290252576442,-1.09133788021554,0.0946156708665829,0.455120028799817,-0.662986920065143,-0.432795917367076,0.222070534813598,-2.81036408553293,0.947831439673828,-0.428035056886471,-0.434774763278274,-0.455656103465456,-0.337370158916748,-0.400495834482418,-0.334121845845468,-0.42445639512748,-0.400945389740687,-0.443774836632755,-0.424231926079641,-0.441711872555196,-0.328627216995103,-0.435841098305658,-0.535050685608538,-0.369385170196572,-0.405918815193001,-0.425217396046429,-0.273010041549866,-0.460755616933543
"30",-0.145285450842608,-0.258618495196808,-0.788786588920927,0.308674099864545,0.348816502404474,0.172850890332385,-0.0787693971855422,-0.603376690794275,-0.37552707187696,-0.829251992926414,0.935816120306983,-0.0785859952508123,-0.221637202036763,0.295433230597283,-0.351142406883798,0.200974090295193,0.367886563224513,-0.079413502420413,0.0610954801569951,0.363231708509645,-0.150712293849162,-0.106858120350149,-0.225170680118246,-0.153303901447975,-0.158212088268109,-0.148648174474303,-0.119776398400656,-0.118787475305985,-0.0285745404882145,-0.182934446399402,-0.141764677483249,-0.139695009536791,-0.165696937536968,-0.101518147456165,-0.167578878808607,-0.176283053832958,-0.135641402698699,-0.152443514704458,-0.185255505645289
"31",0.596051566360983,0.35033996217219,0.28638952878568,0.0432349565667398,0.703360583048388,0.778860035220116,-0.332897058280418,0.82805410483317,-0.0427128868637774,0.180642257604535,1.36763553680156,1.19794977099044,-0.22127441078154,0.310863967306021,0.614345015720771,1.03866716357345,0.748208669065949,0.383858356575438,-0.19062715819037,-0.0785666149425429,0.604065547316013,0.609758890036833,0.636337017051923,0.576571224085956,0.567531613806624,0.651155131128788,0.560065934352715,0.640971617559973,0.64012617072667,0.533501184967304,0.548051453566776,0.655989283986405,0.608281991152516,0.561844634464388,0.539545670150617,0.577945906378258,0.592435879211722,0.607125551252385,0.593718882281533
